winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,18,MARQUISE,30,1
MARQUISE,16,MARQUISE,32,0
MARQUISE,14,MARQUISE,31,5
MARQUISE,16,MARQUISE,33,3
MARQUISE,14,MARQUISE,32,0
MARQUISE,14,MARQUISE,31,10
MARQUISE,18,MARQUISE,30,12
MARQUISE,16,MARQUISE,33,1
MARQUISE,18,MARQUISE,33,5
MARQUISE,16,MARQUISE,33,1
MARQUISE,14,MARQUISE,30,5
MARQUISE,16,MARQUISE,33,2
MARQUISE,14,MARQUISE,31,5
MARQUISE,12,MARQUISE,30,1
MARQUISE,16,MARQUISE,30,6
EYRIE,13,MARQUISE,17,30
MARQUISE,14,MARQUISE,31,0
MARQUISE,16,MARQUISE,32,3
MARQUISE,12,MARQUISE,32,3
MARQUISE,16,MARQUISE,31,3
MARQUISE,16,MARQUISE,34,18
MARQUISE,16,MARQUISE,31,0
MARQUISE,14,MARQUISE,33,0
MARQUISE,14,MARQUISE,30,1
MARQUISE,16,MARQUISE,34,10
MARQUISE,14,MARQUISE,30,7
MARQUISE,14,MARQUISE,33,9
MARQUISE,16,MARQUISE,33,4
MARQUISE,16,MARQUISE,32,2
MARQUISE,16,MARQUISE,32,2
MARQUISE,18,MARQUISE,31,2
MARQUISE,22,MARQUISE,33,0
MARQUISE,20,MARQUISE,33,2
MARQUISE,12,MARQUISE,30,14
MARQUISE,14,MARQUISE,30,3
MARQUISE,18,MARQUISE,31,1
MARQUISE,14,MARQUISE,31,2
MARQUISE,14,MARQUISE,32,10
MARQUISE,14,MARQUISE,32,2
MARQUISE,16,MARQUISE,33,1
MARQUISE,14,MARQUISE,32,6
MARQUISE,18,MARQUISE,33,1
MARQUISE,16,MARQUISE,30,2
MARQUISE,16,MARQUISE,33,1
MARQUISE,14,MARQUISE,30,10
MARQUISE,16,MARQUISE,32,1
MARQUISE,14,MARQUISE,30,0
MARQUISE,14,MARQUISE,30,7
MARQUISE,16,MARQUISE,32,2
MARQUISE,14,MARQUISE,31,5
MARQUISE,16,MARQUISE,32,0
MARQUISE,14,MARQUISE,30,3
MARQUISE,14,MARQUISE,33,1
MARQUISE,14,MARQUISE,31,6
MARQUISE,12,MARQUISE,30,2
MARQUISE,12,MARQUISE,30,1
MARQUISE,15,MARQUISE,31,1
MARQUISE,14,MARQUISE,30,3
MARQUISE,18,MARQUISE,31,2
MARQUISE,22,MARQUISE,32,4
MARQUISE,14,MARQUISE,31,1
MARQUISE,17,MARQUISE,30,4
EYRIE,19,MARQUISE,17,30
MARQUISE,16,MARQUISE,30,0
MARQUISE,16,MARQUISE,30,0
MARQUISE,16,MARQUISE,31,1
MARQUISE,14,MARQUISE,33,0
MARQUISE,16,MARQUISE,34,0
MARQUISE,16,MARQUISE,33,8
MARQUISE,14,MARQUISE,30,1
MARQUISE,16,MARQUISE,32,3
MARQUISE,14,MARQUISE,34,0
MARQUISE,19,MARQUISE,30,8
MARQUISE,16,MARQUISE,30,2
MARQUISE,16,MARQUISE,32,0
MARQUISE,12,MARQUISE,30,9
MARQUISE,14,MARQUISE,31,0
MARQUISE,16,MARQUISE,34,3
MARQUISE,14,MARQUISE,30,2
MARQUISE,14,MARQUISE,30,7
MARQUISE,14,MARQUISE,32,1
MARQUISE,16,MARQUISE,30,5
MARQUISE,16,MARQUISE,31,5
MARQUISE,16,MARQUISE,31,0
MARQUISE,12,MARQUISE,31,5
MARQUISE,14,MARQUISE,31,11
MARQUISE,16,MARQUISE,32,8
MARQUISE,14,MARQUISE,34,11
MARQUISE,18,MARQUISE,32,4
MARQUISE,20,MARQUISE,33,8
MARQUISE,18,MARQUISE,31,3
MARQUISE,16,MARQUISE,31,1
MARQUISE,16,MARQUISE,31,2
MARQUISE,16,MARQUISE,32,4
MARQUISE,17,MARQUISE,30,1
MARQUISE,20,MARQUISE,31,6
MARQUISE,16,MARQUISE,32,1
MARQUISE,16,MARQUISE,32,1
MARQUISE,14,MARQUISE,30,10
MARQUISE,14,MARQUISE,33,1
